GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring_project,com.ncorp.controller,RedirectForwardHandler,0,5,0,0,0,2,0,2,0,2
spring_project,com.ncorp.controller,MatchController,2,90,0,6,1,24,1,13,1,10
spring_project,com.ncorp,Application,5,3,0,0,2,1,1,1,1,1
spring_project,com.ncorp.service,QuizService,55,140,3,7,3,35,4,6,1,4
spring_project,com.ncorp.service,DefaultDataInitializerService,0,179,0,0,0,19,0,2,0,2
spring_project,com.ncorp.service,CategoryService,48,62,6,2,4,17,7,4,3,4
spring_project,com.ncorp.entity,Category,8,16,0,0,4,7,2,5,2,5
spring_project,com.ncorp.entity,SubCategory,10,14,0,0,4,7,3,4,3,4
spring_project,com.ncorp.entity,Quiz,7,52,0,0,3,23,2,15,2,15
