GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring_project,com.ncorp.controller,RedirectForwardHandler,2,3,0,0,1,1,1,1,1,1
spring_project,com.ncorp.controller,MatchController,92,0,6,0,25,0,14,0,11,0
spring_project,com.ncorp,Application,5,3,0,0,2,1,1,1,1,1
spring_project,com.ncorp.service,QuizService,28,167,2,8,0,38,2,8,0,5
spring_project,com.ncorp.service,DefaultDataInitializerService,0,179,0,0,0,19,0,2,0,2
spring_project,com.ncorp.service,CategoryService,20,90,4,4,0,21,3,8,0,7
spring_project,com.ncorp.entity,Category,8,16,0,0,4,7,2,5,2,5
spring_project,com.ncorp.entity,SubCategory,4,20,0,0,2,9,1,6,1,6
spring_project,com.ncorp.entity,Quiz,22,37,0,0,8,18,7,10,7,10
